sample_id,predicted_label,detection_confidence,repair_action,original_comment,repaired_comment,repair_status,reason_short,route_to,model_source
36,Vague,0.9,Rewrite,Handle special cases,Handle preferences with custom update logic,repaired,Original comment 'Handle special cases' is vague; rewrote to clarify that it pertains to preferences requiring custom logic.,evaluation,deepseek-v3
37,Not a smell,0.95,No Change,"This may be a tad hasty - performed before ""back"" is pressed.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
38,Not a smell,0.95,No Change,"If the user changed error reporting, make sure future reports have a chance to post",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
39,Not a smell,0.95,No Change,We also need to re-chain our UncaughtExceptionHandlers,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
40,Vague,0.8,Rewrite,northing to do?,// no change needed?,repaired,"Fixed typo and clarified meaning: when haveNew equals wantNew, nothing to do.",evaluation,deepseek-v3
41,Not a smell,0.95,No Change,Going back to V1,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
42,Not a smell,0.95,No Change,This should never be reached as we explicitly called modSchemaNoCheck(),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
43,Not a smell,0.95,No Change,Going to V2,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
44,Not a smell,0.6,No Change,Update the summary text to reflect new value,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
45,Obvious,0.98,Remove,Get value text,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
46,Obvious,0.95,Remove,Get summary text,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
47,Vague,0.85,Rewrite,Replace summary text with value according to some rules,"Update summary text based on emptiness of oldSummary or value, with key-specific replacement rules.",repaired,Original comment was too vague; clarified the conditional logic and key-specific behavior.,evaluation,deepseek-v3
48,Not a smell,0.95,No Change,Disable the emoji/kana buttons to scroll preference if those keys don't exist,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
49,Obvious,0.95,Rewrite,Disable the double scroll preference if no scrolling keys,Remove double scrolling preference if no scroll keys and no kana/emoji keys.,repaired,Original comment omitted the kana/emoji keys condition and used 'Disable' instead of 'Remove'.,evaluation,deepseek-v3
50,Beautification,0.95,Remove,---------------------------------------------------------------------------- Inner classes ----------------------------------------------------------------------------,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
51,Nonlocal info,0.5737,Move,Tracked as #5019 on github,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
52,Not a smell,0.95,No Change,"syncAccount's summary can change while preferences are still open (user logs in from preferences screen), so we need to update it here.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
53,Vague,0.9,Rewrite,needs a URI instance,Requires a URI instance to run.,repaired,Clarified that the test class needs a URI instance for execution.,evaluation,deepseek-v3
54,Not a smell,0.9,No Change,"#7748: Query can fail on some phones, so fall back to MIME values obtained via: content://com.google.android.inputmethod.latin.fileprovider/content/tenor_gif/tenor_gif187746302992141903.gif",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
55,Not a smell,0.8075,No Change,required for Robolectric,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
56,Not a smell,0.95,No Change,"maybe we could do better here, but general guidance is to not parse the uri string",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
57,Not a smell,0.95,No Change,card that was clicked (not marked),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
58,Task,0.9,Remove,DEFECT: Doesn't need to be a local,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
59,Obvious,0.92,Rewrite,if reloadRequired or noteChanged flag was sent from note editor then reload card list,Reload card list when reloadRequired or noteChanged flag is set from note editor.,repaired,"Rewritten to be slightly less verbatim while keeping the same meaning, as per the 'Rewrite' action for an 'Obvious' comment.",evaluation,deepseek-v3
60,Vague,0.7,Rewrite,in use by reviewer?,"If the reviewer is currently viewing this card, mark it for reload.",repaired,Original comment is vague; rewritten to clearly explain the condition's purpose.,evaluation,deepseek-v3
61,Not a smell,0.95,No Change,maybe the availability of undo changed,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
62,Not a smell,0.95,No Change,"Previewing can now perform an ""edit"", so it can pass on a reloadRequired",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
63,Nonlocal info,0.95,Move,Should match order of R.array.card_browser_order_labels,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
64,Not a smell,0.8075,No Change,list of available keys in mCards corresponding to the column names in R.array.browser_column2_headings. Note: the last 6 are currently hidden,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
65,Not a smell,0.68,No Change,Values related to persistent state data,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
66,Not a smell,0.95,No Change,"if the sort value in the card browser was changed, then perform a new search",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
67,Not a smell,0.95,No Change,"if the same element is selected again, reverse the order",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
68,Vague,0.8,Rewrite,To update the collection,Mark database as modified for collection update,repaired,"Clarifies the purpose of the setMod call, removing vagueness.",evaluation,deepseek-v3
69,Not a smell,0.9,No Change,The noteId is not currently available. Only allow if a single card is selected for now.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
70,Not a smell,0.95,No Change,#5932 - can't be dynamic,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
71,Obvious,0.95,Remove,Load reference to action bar title,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
72,Not a smell,0.95,No Change,"This upgrade should already have been done during setConf. However older version of AnkiDroid didn't call upgradeJSONIfNecessary during setConf, which means the conf saved may still have this bug.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
73,Obvious,0.95,Rewrite,Create a spinner for column1,Initialize the column1 spinner with the browser_column1_headings array and standard dropdown item layout.,repaired,Original comment was obvious; rewritten to add specific details about the array and layout used.,evaluation,deepseek-v3
74,Not a smell,0.95,No Change,If a new column was selected then change the key used to map from mCards to the column TextView,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
75,Obvious,0.95,Remove,Do Nothing,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
76,Obvious,0.95,Rewrite,Load default value for column2 selection,Load the saved column2 index (default 0),repaired,"Original comment is obvious and slightly misleading; clarified it loads the saved preference, not just a default.",evaluation,deepseek-v3
77,Not a smell,0.95,No Change,Setup the column 2 heading as a spinner so that users can easily change the column type,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
78,Not a smell,0.95,No Change,Create a new list adapter with updated column map any time the user changes the column,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
79,Obvious,0.95,Rewrite,get the font and font size from the preferences,Retrieve relative font size and custom font name for card browser from preferences.,repaired,Comment is obvious; rewrite to be more specific.,evaluation,deepseek-v3
80,Obvious,0.95,Rewrite,make a new list adapter mapping the data in mCards to column1 and column2 of R.layout.card_item_browser,Instantiate a MultiColumnListAdapter to display mCards data in columns defined by columnsContent using R.layout.card_item_browser.,repaired,Rewrote to be more concise and clear while preserving the original intent.,evaluation,deepseek-v3
81,Obvious,0.95,Remove,link the adapter to the main mCardsListView,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
82,Not a smell,0.95,No Change,make the items (e.g. question & answer) render dynamically when scrolling,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
83,Obvious,0.9,Remove,set the spinner index,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
84,Not a smell,0.95,No Change,click on whole cell triggers select,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
85,Not a smell,0.95,No Change,load up the card selected on the list,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
86,Obvious,0.95,Remove,Add to the set of checked cards,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
87,Obvious,0.9,Remove,click on whole cell triggers select,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
88,Not a smell,0.95,No Change,"If a valid value for last deck exists then use it, otherwise use libanki selected deck",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
89,Not a smell,0.95,No Change,NOTE: These are all active when typing in the search - doesn't matter as all need CTRL,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
90,Obvious,0.95,Remove,Ctrl+A - Select All,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
91,Misleading,0.95,Rewrite,Ctrl+Shift+E: Export (TODO),Ctrl+E: Add Note,repaired,The comment incorrectly included Shift and Export; code checks Ctrl+E only and calls addNoteFromCardBrowser.,evaluation,deepseek-v3
92,Not a smell,0.95,No Change,start note editor using the card we just loaded,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
93,Task,0.95,Remove,#6432 - FIXME - onCreateOptionsMenu crashes if receiving an activity result from edit card when in multiselect,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
94,Not a smell,0.95,No Change,Just select the first one. It doesn't particularly matter if there's a multiselect occurring.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
95,Not a smell,0.95,No Change,"cancel rendering the question and answer, which has shared access to mCards",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
96,Not a smell,0.95,No Change,Add reload flag to result intent so that schedule reset when returning to note editor,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
97,Obvious,0.9,Remove,restore drawer click listener and icon,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
98,Not a smell,0.95,No Change,the searchview's query always starts empty.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
99,Not a smell,0.95,No Change,SearchView doesn't support empty queries so we always reset the search when collapsing,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
100,Not a smell,0.95,No Change,invalidate options menu so that disappeared icons would appear again,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
101,Obvious,0.95,Remove,Provide SearchView with the previous search terms,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
102,Not a smell,0.95,No Change,Fixes #6500 - keep the search consistent,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
103,Obvious,0.95,Remove,multi-select mode,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
104,Not a smell,0.95,No Change,Maybe we were called from ACTION_PROCESS_TEXT. In that case we already fill in the search.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
105,Nonlocal info,0.6375,Move,TODO: Combine this with class: IntentHandler after both are well-tested,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
106,Not a smell,0.95,No Change,API 23: Replace with Intent.ACTION_PROCESS_TEXT,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
107,Not a smell,0.9,No Change,"Note: Theoretically should not happen, as this should kick us back to the menu",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
108,Vague,0.8,Rewrite,must handle 0.,"Returns true if all cards are selected, including when there are zero cards.",repaired,Original comment was vague; clarified that the condition works for zero cards.,evaluation,deepseek-v3
109,Not a smell,0.95,No Change,"dismiss undo-snackbar if shown to avoid race condition (when another operation will be performed on the model, it will undo the latest operation)",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
110,Not a smell,0.95,No Change,Only new cards may be repositioned,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
111,Not a smell,0.95,No Change,Show confirmation dialog before resetting card progress,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
112,Not a smell,0.95,No Change,"Multiple cards have been explicitly selected, so preview only those cards",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
113,Not a smell,0.95,No Change,"Preview all cards, starting from the one that is currently selected",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
114,Not a smell,0.95,No Change,"WARNING: changeDeck depends on this index, so any changes should be reflected there.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
115,Misleading,0.9,Rewrite,Save current search terms,Save current state fields,repaired,"The original comment only mentioned search terms, but the code saves multiple fields including search terms, card ID, offsets, scroll flags, etc.",evaluation,deepseek-v3
116,Not a smell,0.95,No Change,cancel the previous search & render tasks if still running,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
117,Obvious,0.95,Remove,clear the existing card list,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
118,Not a smell,0.95,No Change,estimate maximum number of cards that could be visible (assuming worst-case minimum row height of 20dp),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
119,Obvious,0.9,Rewrite,Perform database query to get all card ids,Launch a search task to retrieve card IDs matching the search criteria.,repaired,Original comment was misleading (not all card ids) and obvious; rewritten to accurately describe filtered search.,evaluation,deepseek-v3
120,Nonlocal info,0.675,Move,TODO: Duplication between here and CustomStudyDialog:onSelectedTags,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
121,Task,0.9,Remove,Logging here might be appropriate : ),,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
122,Not a smell,0.675,No Change,Only if we really have selected tags,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
123,Not a smell,0.95,No Change,7070: quote tags so brackets are properly escaped,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
124,Not a smell,0.95,No Change,Only if we added anything to the tag list,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
125,Not a smell,0.95,No Change,get position in the mCards search results HashMap,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
126,Vague,0.9,Rewrite,update Q & A etc,Update card fields using column indices,repaired,Rewrote vague comment to clearly describe what is being updated (card fields) and how (using column indices).,evaluation,deepseek-v3
127,Obvious,0.9,Remove,snackbar to offer undo,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
128,Not a smell,0.95,No Change,Strips all formatting from the string txt for use in displaying question/answer in browser,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
129,Not a smell,0.95,No Change,"Suboptimal from a UX perspective, we should reorder but this is only hit on a rare sad path and we'd need to rejig the data structures to allow an efficient search",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
130,Not a smell,0.95,No Change,"we don't need to reorder cards here as we've already deselected all notes,",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
131,Not a smell,0.95,No Change,snackbar to offer undo,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
132,Not a smell,0.95,No Change,reload whole view,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
133,Not a smell,0.95,No Change,"Need to copy the list into a new list, because the original list is modified, and ListAdapter crash",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
134,Not a smell,0.9,No Change,"If we haven't selected all decks, allow the user the option to search all decks.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
135,Obvious,0.95,Rewrite,all we need to do is select all decks,Selects all decks as a preliminary step for searching.,repaired,Original comment was obvious; rewrite adds context about purpose.,evaluation,deepseek-v3
136,Not a smell,0.95,No Change,"Note: This is called every time a card is rendered. It blocks the long-click callback while the task is running, so usage of the task should be minimized",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
137,Task,0.9,Remove,Might want to do something more proactive here like show a message box?,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
138,Obvious,0.95,Remove,Set result and finish,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
139,Not a smell,0.95,No Change,Show the progress bar if scrolling to given position requires rendering of the question / answer,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
140,Not a smell,0.95,No Change,"List is never cleared, only reset to a new list. So it's safe here.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
141,Nonlocal info,0.9,Move,"According to Mike, there used to be 5 to 10 report by hour on the beta version. All with > com.ichi2.anki.exception.ManuallyReportedException: Useless onScroll call, with size 0 firstVisibleItem 0, > lastVisibleItem 0 and visibleItemCount 0.",,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
142,Not a smell,0.95,No Change,"This change ensure that we log more specifically case where #8821 could have occured. That is, there are cards but we are asked to display nothing.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
143,Not a smell,0.95,No Change,"Note that this is not a bug. The fact that `visibleItemCount` is equal to 0 is actually authorized by the method we override and mentionned in the javadoc. It perfectly makes sens to get this order, since it can be used to know that we can delete some elements from the cache for example, since nothing is displayed.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
144,Not a smell,0.95,No Change,"In all of those cases, there is nothing to do:",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
145,Not a smell,0.9,No Change,"Note: max value of lastVisibleItem is totalItemCount, so need to subtract 1",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
146,Not a smell,0.95,No Change,Also start rendering the items on the screen every 300ms while scrolling,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
147,Task,0.95,Remove,TODO: Try change to RecyclerView as currently gets stuck a lot when using scrollbar on right of ListView Start rendering the question & answer every time the user stops scrolling,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
148,Obvious,0.9,Rewrite,"Get the main container view if it doesn't already exist, and call bindView","Reuse or inflate the view, cache child views, then bind data.",repaired,The original comment merely restated the code; this rewrite adds context about recycling and caching.,evaluation,deepseek-v3
149,Obvious,0.95,Remove,Draw the content in the columns,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
150,Obvious,0.95,Rewrite,set font for column,set custom typeface for the column TextView,repaired,Original comment merely restates the code; rewording adds slight specificity about what setFont does.,evaluation,deepseek-v3
151,Obvious,0.92,Rewrite,set text for column,Set column text with card's header value,repaired,Obvious comment restating code; rephrased to be slightly more descriptive.,evaluation,deepseek-v3
152,Obvious,0.95,Remove,set card's background color,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
153,Misleading,0.9,Rewrite,setup checkbox to change color in multi-select mode,setup checkbox visibility and checked state for multi-select mode,repaired,The original comment mentions 'change color' but the code only toggles visibility and checked state; updated to accurately reflect functionality.,evaluation,deepseek-v3
154,Not a smell,0.95,No Change,"if in multi-select mode, be sure to show the checkboxes",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
155,Not a smell,0.95,No Change,"this prevents checkboxes from showing an animation from selected -> unselected when checkbox was selected, then selection mode was ended and now restarted",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
156,Not a smell,0.9,No Change,change bg color on check changed,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
157,Not a smell,0.95,No Change,Set the font and font size for a TextView v,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
158,Not a smell,0.95,No Change,do nothing when pref is 100% and apply scaling only once,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
159,Not a smell,0.95,No Change,getTextSize returns value in absolute PX so use that in the setter,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
160,Obvious,0.95,Remove,"If we have selected cards, load multiselect",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
161,Obvious,0.95,Remove,"If we don't have cards, unload multiselect",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
162,Obvious,0.9,Rewrite,"If we're not in mutliselect, we can select cards if there are cards to select","If not in multi-select mode and action bar menu exists, show 'select all' only when cards are available.",repaired,"Reworded for accuracy and clarity, fixing typo and specifying the visibility action.",evaluation,deepseek-v3
163,Task,0.95,Remove,This could be better: use a wrapper class PositionAware<T> to store the position so it's no longer a responsibility of CardCache and we can guarantee it's consistent just by using this collection,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
164,Not a smell,0.95,No Change,"First column can not be the answer. If it were to change, this code should also be changed.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
165,Misleading,0.85,Rewrite,render question and answer,Retrieve question and answer map,repaired,The original comment said 'render' but the code only retrieves data; corrected to accurately describe the action.,evaluation,deepseek-v3
166,Not a smell,0.93,No Change,"Render full question / answer if the bafmt (i.e. ""browser appearance"") setting forced blank result",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
167,Misleading,0.92,Rewrite,update the original hash map to include rendered question & answer,"extract and format question & answer from hash map, assign to mQa",repaired,"Original comment incorrectly says update hash map; actual code reads from map, formats, and assigns to mQa.",evaluation,deepseek-v3
168,Obvious,0.95,Rewrite,remove the question from the start of the answer if it exists,Remove the question (q) from the start of the answer (a) if present.,repaired,Original was obvious restatement; added variable names for clarity.,evaluation,deepseek-v3
169,Obvious,0.95,Rewrite,Get the current vertical position of the top of the selected view,// Store the view's top position for restoring scroll state after layout change,repaired,Rewrote to clarify purpose instead of restating obvious code behavior.,evaluation,deepseek-v3
170,Not a smell,0.95,No Change,Post to event queue with some delay to give time for the UI to update the layout,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
171,Not a smell,0.9,No Change,Scroll to the same vertical position before the layout was changed,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
172,Obvious,0.95,Remove,set in multi-select mode,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
173,Obvious,0.95,Remove,show title and hide spinner,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
174,Obvious,0.85,Rewrite,reload the actionbar using the multi-select mode actionbar,Invalidate options menu to reflect multi-select mode,repaired,Reworded to be clearer and more accurate about what the code does.,evaluation,deepseek-v3
175,Not a smell,0.95,No Change,If view which was originally selected when entering multi-select is visible then maintain its position,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
176,Not a smell,0.9,No Change,update adapter to remove check boxes,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
177,Obvious,0.95,Remove,update action bar,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
178,Not a smell,0.95,No Change,should only be called from changeDeck(),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
179,Not a smell,0.95,No Change,"line required for unit tests, not necessary, but a noop in regular call.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
180,Not a smell,0.8075,No Change,"#7781 Technically, editing a card with conditional fields can also cause this, but cloze cards are much more common",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
181,Obvious,0.95,Remove,create card 3,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
