sample_id,is_smelly,label,confidence,top1_label,top1_score,top2_label,top2_score,reason_short,action_hint,route_to,second_check_used,review_reason,model_source
80,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates visible local code action without adding intent or context.,remove,repair,False,,deepseek-v3
81,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates visible code action without adding intent or context.,remove,repair,False,,deepseek-v3
82,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Adds context about dynamic rendering on scroll, not just restating code.",no_change,evaluation,False,,deepseek-v3
83,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment merely restates the obvious spinner selection action.,remove,repair,False,,deepseek-v3
84,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose of clicking cell in multi-select mode.,no_change,evaluation,False,,deepseek-v3
85,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Comment explains else branch purpose.,no_change,evaluation,False,,deepseek-v3
86,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates obvious add action without extra context.,remove,repair,False,,deepseek-v3
87,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Restates local code action without adding why.,remove,repair,False,,deepseek-v3
88,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains conditional logic for last deck selection, adds context.",no_change,evaluation,False,,deepseek-v3
89,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds rationale: explains why Ctrl keys are safe during search typing.,no_change,evaluation,False,,deepseek-v3
90,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,"Restates that Ctrl+A selects all, no added insight.",remove,repair,False,,deepseek-v3
91,True,Misleading,0.95,Misleading,0.95,Task,0.05,Comment says Export but code does Add Note; shortcut mismatch.,rewrite,repair,False,,deepseek-v3
92,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains the purpose of starting the note editor with loaded card.,no_change,evaluation,False,,deepseek-v3
93,True,Task,0.95,Task,0.95,Not a smell,0.05,FIXME with specific bug description indicating a task to fix.,remove,repair,False,,deepseek-v3
94,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds rationale for selecting first item despite multiselect.,no_change,evaluation,False,,deepseek-v3
95,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for canceling rendering due to shared mCards access.,no_change,evaluation,False,,deepseek-v3
96,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.02,Explains why reload flag is added for schedule reset.,no_change,evaluation,False,,deepseek-v3
97,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment merely restates the nearby method call.,remove,repair,False,,deepseek-v3
98,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for setting visibility.,no_change,evaluation,False,,deepseek-v3
99,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains SearchView limitation and reset rationale.,no_change,evaluation,False,,deepseek-v3
100,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why invalidating options menu is needed.,no_change,evaluation,False,,deepseek-v3
101,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the visible code action without adding rationale or context.,remove,repair,False,,deepseek-v3
102,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides context and issue reference.,no_change,evaluation,False,,deepseek-v3
103,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the else branch condition without adding new info.,remove,repair,False,,deepseek-v3
104,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains non-obvious conditional logic for intent action.,no_change,evaluation,False,,deepseek-v3
105,True,Nonlocal info,0.6375,Nonlocal info,0.6375,Not a smell,0.3625,"The comment references an external class (IntentHandler) and a future condition (well-tested), fitting 'Nonlocal info' as its meaning depends on external module/deploy agreement. It is not a local intent explanation, so ",move,repair,True,not_smell_vs_nonlocal,deepseek-v3
106,False,Not a smell,0.95,Not a smell,0.95,Task,0.05,Explains API level workaround and replacement intent.,no_change,evaluation,False,,deepseek-v3
107,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,Explains edge case and expected defensive behavior despite vague reference.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
108,True,Vague,0.8,Vague,0.8,Task,0.15,"Comment 'must handle 0' is underspecified, lacking context on what handling means.",rewrite,repair,True,low_confidence;borderline_label_low_confidence,deepseek-v3
109,False,Not a smell,0.95,Not a smell,0.95,Too much info,0.05,Provides rationale for dismissing snackbar to avoid race condition.,no_change,evaluation,False,,deepseek-v3
110,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.02,Explains why only new cards are allowed; not obvious or vague.,no_change,evaluation,False,,deepseek-v3
111,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose of dialog before reset; adds local context.,no_change,evaluation,False,,deepseek-v3
112,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds intent explanation for branch selection.,no_change,evaluation,False,,deepseek-v3
113,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Accurately describes the else branch logic.,no_change,evaluation,False,,deepseek-v3
114,False,Not a smell,0.95,Not a smell,0.95,Nonlocal info,0.05,"Warns about index dependency for changeDeck method, adding useful context.",no_change,evaluation,False,,deepseek-v3
115,True,Misleading,0.9,Misleading,0.9,Obvious,0.05,"Comment says 'Save current search terms' but code saves many state variables, making it inconsistent.",rewrite,repair,False,,deepseek-v3
116,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Provides rationale for invalidate() call, explaining cancellation of previous tasks.",no_change,evaluation,False,,deepseek-v3
117,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Merely restates visible code action (reset and notify) without added intent.,remove,repair,False,,deepseek-v3
118,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains purpose and assumption for card count estimation, aiding comprehension.",no_change,evaluation,False,,deepseek-v3
119,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment merely restates visible action of launching task; adds no context or rationale.,remove,repair,False,,deepseek-v3
120,True,Nonlocal info,0.675,Nonlocal info,0.675,Not a smell,0.325,"Comment references duplication with external class CustomStudyDialog:onSelectedTags, indicating dependency on external module.",move,repair,True,not_smell_vs_nonlocal,deepseek-v3
121,True,Task,0.9,Task,0.9,Not a smell,0.1,Suggests future logging action in default case.,remove,repair,False,,deepseek-v3
122,False,Not a smell,0.675,Not a smell,0.9,Obvious,0.1,"Comment provides intent: explains condition for adding parenthesis, not just restating visible code.",no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
123,False,Not a smell,0.95,Not a smell,0.95,Vague,0.03,"Provides rationale for quoting tags to properly escape brackets, not obvious from code.",no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
124,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment clarifies conditional logic, helpful.",no_change,evaluation,False,,deepseek-v3
125,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment explains that the map is from mCards search results, adding useful context beyond the visible code.",no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
126,True,Vague,0.9,Vague,0.9,Not a smell,0.1,Comment uses vague term 'etc' and lacks specific effect.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
127,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment merely restates visible snackbar creation with undo action.,remove,repair,False,,deepseek-v3
128,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose and context of formatting removal for browser display.,no_change,evaluation,False,,deepseek-v3
129,False,Not a smell,0.95,Not a smell,0.95,Too much info,0.05,Explains UX trade-off and reason for not reordering.,no_change,evaluation,False,,deepseek-v3
130,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for skipping reorder due to prior deselection.,no_change,evaluation,False,,deepseek-v3
131,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Adds local purpose: explains snackbar offers undo, aiding comprehension.",no_change,evaluation,False,,deepseek-v3
132,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment gives clear high-level purpose for the following block, aiding comprehension.",no_change,evaluation,False,,deepseek-v3
133,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why copy is needed to avoid crash.,no_change,evaluation,False,,deepseek-v3
134,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,"Comment explains rationale for allowing search all decks, enhancing comprehension.",no_change,evaluation,False,,deepseek-v3
135,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Simply restates the method call without added rationale.,remove,repair,False,,deepseek-v3
136,False,Not a smell,0.95,Not a smell,0.95,Too much info,0.05,"Explains method behavior and warns about blocking UI callback, adds useful context.",no_change,evaluation,False,,deepseek-v3
137,True,Task,0.9,Task,0.9,Not a smell,0.1,Suggests future improvement (show message box) rather than explaining current code.,remove,repair,False,,deepseek-v3
138,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,"Comment merely restates what the code does, adding no extra context or rationale.",remove,repair,False,,deepseek-v3
139,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds useful context about progress bar trigger.,no_change,evaluation,False,,deepseek-v3
140,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides rationale why list is safe to access without clearing.,no_change,evaluation,False,,deepseek-v3
141,True,Nonlocal info,0.9,Nonlocal info,0.9,Not a smell,0.1,References external beta reports and exception details not local to this code.,move,repair,True,not_smell_vs_nonlocal;borderline_label_low_confidence,deepseek-v3
142,False,Not a smell,0.95,Not a smell,0.95,Nonlocal info,0.05,Provides rationale and specific condition for logging.,no_change,evaluation,False,,deepseek-v3
143,False,Not a smell,0.95,Not a smell,0.95,Too much info,0.05,Clarifies that visibleItemCount==0 is not a bug and explains rationale.,no_change,evaluation,False,,deepseek-v3
144,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains the purpose of the following conditional check.,no_change,evaluation,False,,deepseek-v3
145,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,"Explains off-by-one rationale, adds non-obvious context.",no_change,evaluation,False,,deepseek-v3
146,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Adds context for periodic rendering while scrolling, not obvious from code.",no_change,evaluation,False,,deepseek-v3
147,True,Task,0.95,Task,0.95,Obvious,0.05,TODO comment suggesting a change to RecyclerView with rationale.,remove,repair,False,,deepseek-v3
148,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Restates the obvious code actions without added context.,remove,repair,False,,deepseek-v3
149,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment restates visible action without adding intent or rationale.,remove,repair,False,,deepseek-v3
150,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Merely restates the call setFont(col) without adding any rationale.,remove,repair,False,,deepseek-v3
151,True,Obvious,0.92,Obvious,0.92,Not a smell,0.08,Comment merely restates the visible code action without adding rationale or intent.,remove,repair,False,,deepseek-v3
152,True,Obvious,0.95,Obvious,0.95,Not a smell,0.03,Comment restates visible code action without added rationale.,remove,repair,False,,deepseek-v3
153,True,Misleading,0.9,Misleading,0.9,Obvious,0.1,Comment says 'change color' but code sets visibility and checked state.,rewrite,repair,False,,deepseek-v3
154,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose of condition.,no_change,evaluation,False,,deepseek-v3
155,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale behind method call to prevent animation bug.,no_change,evaluation,False,,deepseek-v3
156,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,Comment provides specific purpose for the onClickListener.,no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
157,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Comment clarifies method purpose and parameters.,no_change,evaluation,False,,deepseek-v3
158,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Comment accurately describes conditional logic.,no_change,evaluation,False,,deepseek-v3
159,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.03,"Explains rationale for using COMPLEX_UNIT_PX, adds clarity.",no_change,evaluation,False,,deepseek-v3
160,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Simply restates the condition and action without additional insight.,remove,repair,False,,deepseek-v3
161,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the code condition and action without adding context.,remove,repair,False,,deepseek-v3
162,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment restates condition without adding intent or rationale.,remove,repair,True,borderline_label_low_confidence,deepseek-v3
163,True,Task,0.95,Task,0.95,Not a smell,0.05,"Comment suggests future improvement, not explaining current code.",remove,repair,False,,deepseek-v3
164,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains a design constraint and future maintenance dependency.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
165,True,Misleading,0.85,Misleading,0.85,Vague,0.15,"Comment says 'render' but code retrieves a map, not rendering.",rewrite,repair,True,low_confidence,deepseek-v3
166,False,Not a smell,0.93,Not a smell,0.93,Obvious,0.07,Provides rationale for conditional logic due to bafmt setting.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
167,True,Misleading,0.92,Misleading,0.92,Not a smell,0.08,Comment inaccurately claims to update hash map; code only reads and creates new pair.,rewrite,repair,False,,deepseek-v3
168,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Merely restates code action without added intent.,remove,repair,False,,deepseek-v3
169,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates obvious local code without added context.,remove,repair,False,,deepseek-v3
170,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose of delay for UI update.,no_change,evaluation,False,,deepseek-v3
171,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,Gives context about layout change and intent to preserve scroll position.,no_change,evaluation,True,low_confidence;borderline_label_low_confidence,deepseek-v3
172,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the assignment without adding intent or rationale.,remove,repair,False,,deepseek-v3
173,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates visible code action with no added intent or context.,remove,repair,False,,deepseek-v3
174,True,Obvious,0.85,Obvious,0.85,Not a smell,0.15,"Comment restates calling invalidateOptionsMenu to reload actionbar, no added rationale.",remove,repair,True,borderline_label_low_confidence,deepseek-v3
175,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds rationale for maintaining view position after multi-select.,no_change,evaluation,False,,deepseek-v3
176,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,Comment adds specific local intent for a generic method call.,no_change,evaluation,False,,deepseek-v3
177,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the visible code action without adding rationale or intent.,remove,repair,False,,deepseek-v3
178,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides specific caller constraint.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
179,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.02,Explains why line is needed for tests; not restating code.,no_change,evaluation,False,,deepseek-v3
180,False,Not a smell,0.8075,Not a smell,0.8075,Obvious,0.1925,"Comment explains local test rationale referencing an issue, not external module/config dependency.",no_change,evaluation,True,signal_conflict;not_smell_vs_nonlocal,deepseek-v3
181,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,"Merely restates code action, no added rationale.",remove,repair,False,,deepseek-v3
182,True,Commented out code,0.99,Commented out code,0.99,Task,0.01,Block of test code commented out with TODO.,remove,repair,False,,deepseek-v3
183,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the following code action without adding intent or context.,remove,repair,False,,deepseek-v3
184,False,Not a smell,0.92,Not a smell,0.92,Obvious,0.08,Explains purpose of adding template for multi-card test.,no_change,evaluation,False,,deepseek-v3
185,True,Task,0.95,Task,0.95,Not a smell,0.05,TODO comment indicating a future task to remove parameter.,remove,repair,False,,deepseek-v3
