sample_id,is_smelly,label,confidence,top1_label,top1_score,top2_label,top2_score,reason_short,action_hint,route_to,second_check_used,review_reason,model_source
25,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides clarification about resource naming.,no_change,evaluation,False,,deepseek-v3
26,True,Task,0.95,Task,0.95,Not a smell,0.05,"Defect comment indicating missing work, not explaining code.",remove,repair,False,,deepseek-v3
27,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment restates code action without adding intent or constraint.,remove,repair,True,low_confidence;borderline_label_low_confidence,deepseek-v3
28,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment restates only the condition and action without adding rationale or intent.,remove,repair,True,borderline_label_low_confidence,deepseek-v3
29,False,Not a smell,0.95,Not a smell,0.95,Irrelevant,0.05,Provides rationale for handling keypress due to missing browser.,no_change,evaluation,False,,deepseek-v3
30,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why different message due to snackbar space limit.,no_change,evaluation,False,,deepseek-v3
31,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains source and content of collection, aiding comprehension without being redundant.",no_change,evaluation,False,,deepseek-v3
32,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains conditional logic clearly.,no_change,evaluation,False,,deepseek-v3
33,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,"Comment merely restates assignment and method call, no added intent.",remove,repair,False,,deepseek-v3
34,True,Obvious,0.95,Obvious,0.95,Not a smell,0.04,Merely restates method call without added intent or rationale.,remove,repair,False,,deepseek-v3
35,True,Nonlocal info,0.7125,Nonlocal info,0.7125,Not a smell,0.2875,Comment references external GitHub issue and describes a task without explaining local code.,move,repair,True,not_smell_vs_nonlocal,deepseek-v3
36,True,Vague,0.92,Vague,0.92,Not a smell,0.08,Comment is too generic; lacks specific details about the special cases.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
37,False,Not a smell,0.95,Not a smell,0.95,Vague,0.05,Provides specific timing concern and condition.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
38,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for deleting limiter data based on user preference change.,no_change,evaluation,False,,deepseek-v3
39,False,Not a smell,0.95,Not a smell,0.95,Vague,0.03,Comment provides specific rationale: re-chain UncaughtExceptionHandlers.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
40,True,Vague,0.75,Vague,0.75,Irrelevant,0.2,Comment merely repeats the code comment without adding clarity or rationale.,rewrite,repair,True,low_confidence;borderline_label_low_confidence,deepseek-v3
41,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides context for version change.,no_change,evaluation,False,,deepseek-v3
42,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides context for unreachable path.,no_change,evaluation,False,,deepseek-v3
43,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Adds intent for version upgrade, not restating code.",no_change,evaluation,False,,deepseek-v3
44,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Helpful comment explaining code intent.,no_change,evaluation,False,,deepseek-v3
45,True,Vague,0.9,Vague,0.9,Not a smell,0.1,Comment 'Get value text' is too generic; does not identify specific object or purpose.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
46,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates code action without added intent or rationale.,remove,repair,False,,deepseek-v3
47,True,Vague,0.85,Vague,0.85,Not a smell,0.15,Comment states 'some rules' which is unspecified; lacks concrete detail about the replacement logic.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
48,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment restates conditional removal action without added rationale or intent.,remove,repair,False,,deepseek-v3
49,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds specific purpose and condition for removing the preference.,no_change,evaluation,False,,deepseek-v3
50,True,Beautification,0.95,Beautification,0.95,Not a smell,0.05,Section header with visual separator; near-zero semantic content.,remove,repair,False,,deepseek-v3
51,True,Irrelevant,0.95,Irrelevant,0.95,Nonlocal info,0.05,External issue reference not explaining code.,remove,repair,False,,deepseek-v3
52,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why updates are needed due to possible change while preferences open.,no_change,evaluation,False,,deepseek-v3
53,True,Task,0.85,Task,0.85,Not a smell,0.1,"Comment notes a needed resource, not code explanation.",remove,repair,False,,deepseek-v3
54,False,Not a smell,0.95,Not a smell,0.95,Too much info,0.05,Explains fallback due to query failure on some phones; adds rationale.,no_change,evaluation,False,,deepseek-v3
55,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Useful context for Robolectric test.,no_change,evaluation,False,,deepseek-v3
56,False,Not a smell,0.92,Not a smell,0.92,Obvious,0.08,Comment provides rationale for design decision (avoid parsing URI) not obvious from code.,no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
57,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Clarifies field purpose: identifies clicked card vs other states.,no_change,evaluation,False,,deepseek-v3
58,True,Task,0.85,Task,0.85,Vague,0.1,Defect annotation without rationale; typical task reminder.,remove,repair,True,low_confidence,deepseek-v3
59,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains source and purpose of reload condition, enhancing comprehension.",no_change,evaluation,False,,deepseek-v3
60,True,Vague,0.85,Vague,0.85,Irrelevant,0.1,Fragmentary question does not explain purpose or effect; reader must guess.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
61,True,Vague,0.9,Vague,0.9,Not a smell,0.1,Tentative speculation about undo availability without specific referent.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
62,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.02,"Explains why Previewing can set reloadRequired, adding context.",no_change,evaluation,False,,deepseek-v3
63,True,Nonlocal info,0.85,Nonlocal info,0.85,Not a smell,0.15,"Comment explains constant value must match external resource array order, a nonlocal dependency.",move,repair,True,not_smell_vs_nonlocal,deepseek-v3
64,False,Not a smell,0.765,Not a smell,0.9,Nonlocal info,0.1,"Provides specific context about external resource mapping and hidden status, aiding comprehension.",no_change,evaluation,True,signal_conflict;not_smell_vs_nonlocal,deepseek-v3
65,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.03,Comment provides clear grouping context for fields.,no_change,evaluation,False,,deepseek-v3
66,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains purpose of condition and action, adding context.",no_change,evaluation,False,,deepseek-v3
67,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.02,"Explains intent to reverse order when same element reselected, adding context beyond code.",no_change,evaluation,False,,deepseek-v3
68,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"The comment explains the purpose (to update the collection) rather than merely restating the local code action, providing useful intent.",no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
69,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains limitation and rationale for single card check.,no_change,evaluation,False,,deepseek-v3
70,True,Nonlocal info,0.9,Nonlocal info,0.9,Not a smell,0.1,References external issue #5932; meaning depends on external context.,move,repair,True,not_smell_vs_nonlocal;borderline_label_low_confidence,deepseek-v3
71,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the code action without adding new information.,remove,repair,False,,deepseek-v3
72,False,Not a smell,0.95,Not a smell,0.95,Nonlocal info,0.05,Explains historical bug workaround and rationale for upgrade call.,no_change,evaluation,False,,deepseek-v3
73,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the assignment of a Spinner view.,remove,repair,False,,deepseek-v3
74,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains conditional logic and purpose.,no_change,evaluation,False,,deepseek-v3
75,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Merely restates the already-clear method name.,remove,repair,False,,deepseek-v3
76,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment explains purpose of preference retrieval, adding clarity.",no_change,evaluation,False,,deepseek-v3
77,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides clear purpose and user benefit for setting up spinner.,no_change,evaluation,False,,deepseek-v3
78,True,Misleading,0.95,Misleading,0.95,Vague,0.05,"Comment describes creating adapter, but code sets listener only.",rewrite,repair,False,,deepseek-v3
79,True,Obvious,0.92,Obvious,0.92,Not a smell,0.08,Comment merely restates the code action without adding new context.,remove,repair,False,,deepseek-v3
80,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment restates visible code without adding rationale or constraint.,remove,repair,False,,deepseek-v3
81,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates code without adding useful context.,remove,repair,False,,deepseek-v3
82,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides helpful context for dynamic scrolling behavior.,no_change,evaluation,False,,deepseek-v3
83,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Restates the code action without adding any intent or rationale.,remove,repair,False,,deepseek-v3
84,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment restates visible action; no added why or rationale.,remove,repair,False,,deepseek-v3
85,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates the obvious action of getting card ID from list.,remove,repair,False,,deepseek-v3
86,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the visible code action without adding rationale.,remove,repair,False,,deepseek-v3
87,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose and trigger for the code block.,no_change,evaluation,False,,deepseek-v3
88,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment accurately summarizes logic, enhances comprehension.",no_change,evaluation,False,,deepseek-v3
89,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Clarifies that Ctrl shortcuts are safe during search input, adding useful rationale.",no_change,evaluation,False,,deepseek-v3
90,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the obvious action of the code.,remove,repair,False,,deepseek-v3
91,True,Task,0.9,Task,0.9,Misleading,0.1,Comment indicates future work (Export) with TODO.,remove,repair,False,,deepseek-v3
92,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose of intent creation with context.,no_change,evaluation,False,,deepseek-v3
93,True,Task,0.95,Task,0.95,Not a smell,0.05,Comment documents a known bug and indicates a fix is needed.,remove,repair,False,,deepseek-v3
94,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for selecting first card; not a smell.,no_change,evaluation,False,,deepseek-v3
95,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why rendering is canceled due to shared access.,no_change,evaluation,False,,deepseek-v3
96,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why reload flag is added and its effect on schedule reset.,no_change,evaluation,False,,deepseek-v3
97,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the method call without adding new info.,remove,repair,False,,deepseek-v3
98,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.03,Explains why search item is hidden due to empty query.,no_change,evaluation,False,,deepseek-v3
99,False,Not a smell,0.95,Not a smell,0.95,Vague,0.05,"Comment identifies a specific constraint of SearchView, not vague.",no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
100,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why invalidating menu restores icons.,no_change,evaluation,False,,deepseek-v3
101,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment merely restates the visible code action without adding intent or rationale.,remove,repair,False,,deepseek-v3
102,False,Not a smell,0.95,Not a smell,0.95,Task,0.05,"Fixes #6500 and explains rationale for search consistency, adding context not restating code.",no_change,evaluation,False,,deepseek-v3
103,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment adds context for conditional branch, not a restatement.",no_change,evaluation,False,,deepseek-v3
104,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains conditional scenario, adds context.",no_change,evaluation,False,,deepseek-v3
105,True,Nonlocal info,0.675,Nonlocal info,0.9,Not a smell,0.1,"TODO comment references another class (IntentHandler), indicating nonlocal information about future integration.",move,repair,True,not_smell_vs_nonlocal,deepseek-v3
106,False,Not a smell,0.7125,Not a smell,0.95,Nonlocal info,0.05,"Suggests replacing string literal with API constant, local intent.",no_change,evaluation,True,not_smell_vs_nonlocal,deepseek-v3
107,True,Vague,0.85,Vague,0.85,Not a smell,0.15,"Uses ambiguous 'this', missing specific referent and effect.",rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
108,True,Vague,0.7,Vague,0.7,Not a smell,0.3,Fragmentary comment 'must handle 0' lacks specific referent or rationale.,rewrite,repair,True,low_confidence;borderline_label_low_confidence,deepseek-v3
109,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why dismiss snackbar to avoid race condition; adds intent.,no_change,evaluation,False,,deepseek-v3
110,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Accurately describes code behavior.,no_change,evaluation,False,,deepseek-v3
111,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment explains the purpose of the next actions, enhancing comprehension.",no_change,evaluation,False,,deepseek-v3
112,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment explains code logic clearly, enhancing comprehension.",no_change,evaluation,False,,deepseek-v3
113,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment restates local code action without added rationale or constraints.,remove,repair,False,,deepseek-v3
114,False,Not a smell,0.95,Not a smell,0.95,Nonlocal info,0.05,"Warns of a dependency on this index, adds useful context for maintainability.",no_change,evaluation,False,,deepseek-v3
115,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Helpfully summarizes the following save operations.,no_change,evaluation,False,,deepseek-v3
116,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,Adds purpose for invalidate call; not restating code.,no_change,evaluation,False,,deepseek-v3
117,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the clear action of resetting cards.,remove,repair,False,,deepseek-v3
118,False,Not a smell,0.95,Not a smell,0.95,Too much info,0.05,"Provides rationale and assumption for calculation, aiding comprehension.",no_change,evaluation,False,,deepseek-v3
119,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates visible code action without added intent or rationale.,remove,repair,False,,deepseek-v3
120,False,Not a smell,0.4875,Not a smell,0.55,Nonlocal info,0.45,"No clear dependency on external module/config; likely local intent, so prefer Not a smell.",no_change,evaluation,True,not_smell_vs_nonlocal,deepseek-v3
121,True,Vague,0.85,Vague,0.85,Not a smell,0.15,Suggests logging but unspecified what/why; vague suggestion.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
122,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,"Comment explains condition for adding '(' only when selected tags exist, providing constraint context.",no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
123,False,Not a smell,0.9,Not a smell,0.9,Nonlocal info,0.1,"Provides rationale for quoting tags to escape brackets, referencing relevant issue.",no_change,evaluation,False,,deepseek-v3
124,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides context for conditional append.,no_change,evaluation,False,,deepseek-v3
125,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the local code action without adding new information.,remove,repair,False,,deepseek-v3
126,False,Not a smell,0.45,Not a smell,0.6,Vague,0.4,Comment provides intent (update Q&A) not obvious from code; mild vagueness due to 'etc'.,no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
127,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Clarifies snackbar's purpose as offering undo, not restating code.",no_change,evaluation,False,,deepseek-v3
128,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Helpful comment describing method purpose.,no_change,evaluation,False,,deepseek-v3
129,False,Not a smell,0.95,Not a smell,0.95,Task,0.05,Explains UX trade-off and design rationale for rare sad path.,no_change,evaluation,False,,deepseek-v3
130,False,Not a smell,0.98,Not a smell,0.98,Vague,0.02,"Comment explains rationale for not reordering (prior deselection), providing specific context.",no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
131,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Clarifies purpose of snackbar call.,no_change,evaluation,False,,deepseek-v3
132,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,"Comment only restates method name, no added context.",remove,repair,False,,deepseek-v3
133,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why list copy is needed to avoid crash.,no_change,evaluation,False,,deepseek-v3
134,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds rationale for conditional behavior: search all decks option.,no_change,evaluation,False,,deepseek-v3
135,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates obvious local call without adding intent or rationale.,remove,repair,False,,deepseek-v3
136,False,Not a smell,0.95,Not a smell,0.95,Vague,0.05,"Provides specific context about call frequency and blocking effect, no ambiguity.",no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
137,True,Task,0.92,Task,0.92,Not a smell,0.08,Suggests future improvement; not describing current code.,remove,repair,False,,deepseek-v3
138,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates code actions without additional context.,remove,repair,False,,deepseek-v3
139,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Clarifies why progress bar appears conditionally; not a smell.,no_change,evaluation,False,,deepseek-v3
140,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains list lifecycle rationale, aiding comprehension.",no_change,evaluation,False,,deepseek-v3
141,True,Too much info,0.675,Too much info,0.675,Not a smell,0.325,"Comment contains unnecessary beta version anecdote and exception details, not explaining code.",summarize,repair,True,not_smell_vs_toomuch,deepseek-v3
142,False,Not a smell,0.8075,Not a smell,0.8075,Obvious,0.1925,"Provides local intent and context for logging edge case, not depending on external agreement.",no_change,evaluation,True,signal_conflict;not_smell_vs_nonlocal,deepseek-v3
143,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for handling zero visible items.,no_change,evaluation,False,,deepseek-v3
144,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains early return condition, enhancing comprehension.",no_change,evaluation,False,,deepseek-v3
145,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains off-by-one logic clearly.,no_change,evaluation,False,,deepseek-v3
146,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains timing rationale for rendering during scroll.,no_change,evaluation,False,,deepseek-v3
147,True,Task,0.95,Task,0.95,Too much info,0.05,TODO comment suggesting future code change with rationale.,remove,repair,False,,deepseek-v3
148,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment simply restates what the code does without adding new insight.,remove,repair,False,,deepseek-v3
149,True,Misleading,0.8,Misleading,0.8,Vague,0.15,"Comment claims 'Draw' but code only retrieves references, contradicting action.",rewrite,repair,True,low_confidence,deepseek-v3
150,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates visible code action with no added intent or rationale.,remove,repair,False,,deepseek-v3
151,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the next line of code with no added rationale or context.,remove,repair,False,,deepseek-v3
152,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the visible local code action.,remove,repair,False,,deepseek-v3
153,False,Not a smell,0.7125,Not a smell,0.95,Nonlocal info,0.05,"Comment explains local intent for this code line, not external dependency.",no_change,evaluation,True,low_confidence;borderline_label_low_confidence,deepseek-v3
154,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates condition without adding rationale.,remove,repair,False,,deepseek-v3
155,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains non-obvious animation prevention.,no_change,evaluation,False,,deepseek-v3
156,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.08,Provides intent for the listener: background color change on check state change.,no_change,evaluation,False,,deepseek-v3
157,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates method purpose; no added context.,remove,repair,False,,deepseek-v3
158,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for condition: skip scaling when pref is 100% and ensure only single scaling.,no_change,evaluation,False,,deepseek-v3
159,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains unit conversion rationale.,no_change,evaluation,False,,deepseek-v3
160,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the conditional logic without adding intent or context.,remove,repair,False,,deepseek-v3
161,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates condition and action without adding insight.,remove,repair,False,,deepseek-v3
162,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates condition without added intent.,remove,repair,False,,deepseek-v3
163,True,Task,0.92,Task,0.92,Not a smell,0.08,Suggests future improvement using wrapper class; not explaining current code.,remove,repair,False,,deepseek-v3
164,False,Not a smell,0.95,Not a smell,0.95,Vague,0.05,Explains local constraint and maintenance dependency; adds context.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
165,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Merely restates action without adding rationale.,remove,repair,False,,deepseek-v3
166,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains purpose triggered by bafmt setting, adds context.",no_change,evaluation,False,,deepseek-v3
167,True,Misleading,0.9,Misleading,0.9,Vague,0.1,"Comment describes updating map but code only retrieves values, causing inconsistency.",rewrite,repair,False,,deepseek-v3
168,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates code without adding intent or rationale.,remove,repair,False,,deepseek-v3
169,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment restates obvious code action without added context.,remove,repair,False,,deepseek-v3
170,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.05,Explains rationale for delay to allow UI layout update.,no_change,evaluation,False,,deepseek-v3
171,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.03,Explains purpose of scroll to maintain vertical position after layout change.,no_change,evaluation,False,,deepseek-v3
172,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the variable assignment without adding context.,remove,repair,False,,deepseek-v3
173,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates visible code actions without adding intent or rationale.,remove,repair,False,,deepseek-v3
174,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains why actionbar is reloaded.,no_change,evaluation,False,,deepseek-v3
175,False,Not a smell,0.95,Not a smell,0.95,Vague,0.05,Comment clarifies conditional logic and intent for maintaining view position.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
176,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Adds specific purpose: removing check boxes, not just restating code.",no_change,evaluation,False,,deepseek-v3
177,False,Not a smell,0.45,Not a smell,0.45,Obvious,0.55,"Without specific context, choosing Not a smell per global policy to avoid labeling as Obvious for short comments lacking pure restatement evidence.",no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
178,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides intentional usage restriction.,no_change,evaluation,False,,deepseek-v3
179,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose of line for tests.,no_change,evaluation,False,,deepseek-v3
180,False,Not a smell,0.9,Not a smell,0.9,Task,0.1,Provides context for issue #7781 with technical nuance.,no_change,evaluation,True,low_confidence;borderline_label_low_confidence,deepseek-v3
181,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment restates code action without adding rationale or intent.,remove,repair,False,,deepseek-v3
182,True,Commented out code,0.96,Commented out code,0.96,Task,0.04,"Entire test method commented out with TODO, no added value.",remove,repair,False,,deepseek-v3
183,True,Vague,0.9,Vague,0.9,Obvious,0.1,Comment only states broad action without explaining specific purpose or effect.,rewrite,repair,False,,deepseek-v3
184,True,Obvious,0.9,Obvious,0.9,Not a smell,0.1,Comment restates visible code action without adding rationale or context.,remove,repair,False,,deepseek-v3
185,True,Task,0.95,Task,0.95,Vague,0.05,TODO comment indicating future work to remove 'true' parameter.,remove,repair,False,,deepseek-v3
