sample_id,case_type,failure_stage,repair_attempted,repair_evaluable,closed_loop_evaluable,detection_correctness,calibration_score,repair_quality_score,closed_loop_pass,final_verdict,predicted_label,gold_label,binary_gold_label,binary_predicted_label,binary_detection_correctness,detection_confidence,repair_action,repair_status,lexical_similarity_score,post_repair_label,post_repair_confidence,smell_removed,new_smell_introduced,label_transition,llm_judge_score,second_pass_used
13,wrong_smell_type,detection,True,False,False,False,0.19,,,FAILED,Misleading,Obvious,Smell,Smell,True,0.9,Rewrite,repaired,,,,,,,,False
14,repair_eligible,,True,True,True,True,0.8686,1.0,True,ACCEPTED,Commented out code,Commented out code,Smell,Smell,True,0.6375,Remove,removed,,Not a smell,1.0,True,False,Commented out code -> Not a smell,,False
15,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Task,Task,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Task -> Not a smell,,False
16,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
17,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
18,false_negative,detection,False,False,False,False,0.0396,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.98,No Change,skipped_clean,,,,,,,,False
19,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
20,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
21,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
22,false_negative,detection,False,False,False,False,0.5444,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.675,No Change,skipped_clean,,,,,,,,False
23,false_positive,detection,True,False,False,False,0.2775,,,FAILED,Vague,Not a smell,Not a smell,Smell,False,0.85,Rewrite,repaired,,,,,,,,False
24,wrong_smell_type,detection,True,False,False,False,0.4923,,,FAILED,Nonlocal info,Task,Smell,Smell,True,0.7125,Move,moved,,,,,,,,False
25,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
26,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Task,Task,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Task -> Not a smell,,False
27,false_positive,detection,True,False,False,False,0.19,,,FAILED,Obvious,Not a smell,Not a smell,Smell,False,0.9,Remove,removed,,,,,,,,False
28,false_positive,detection,True,False,False,False,0.0975,,,FAILED,Obvious,Not a smell,Not a smell,Smell,False,0.95,Rewrite,repaired,,,,,,,,False
29,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Task,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
30,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
31,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
32,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
33,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
34,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
35,wrong_smell_type,detection,True,False,False,False,0.4923,,,FAILED,Nonlocal info,Task,Smell,Smell,True,0.7125,Move,moved,,,,,,,,False
36,wrong_smell_type,detection,True,False,False,False,0.1536,,,FAILED,Vague,Obvious,Smell,Smell,True,0.92,Rewrite,repaired,,,,,,,,False
37,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
38,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
39,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
40,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9375,0.95,False,FAILED,Vague,Vague,Smell,Smell,True,0.75,Rewrite,repaired,0.0,Vague,0.85,False,False,Vague -> Vague,0.95,True
41,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
42,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
43,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
44,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
45,wrong_smell_type,detection,True,False,False,False,0.19,,,FAILED,Vague,Obvious,Smell,Smell,True,0.9,Rewrite,repaired,,,,,,,,False
46,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
47,wrong_smell_type,detection,True,False,False,False,0.2775,,,FAILED,Vague,Obvious,Smell,Smell,True,0.85,Rewrite,repaired,,,,,,,,False
48,repair_eligible,,True,True,True,True,0.9975,0.95,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Not a smell,0.95,True,False,Obvious -> Not a smell,0.95,False
49,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Misleading,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
50,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Beautification,Beautification,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Beautification -> Not a smell,,False
51,wrong_smell_type,detection,True,False,False,False,0.0975,,,FAILED,Irrelevant,Task,Smell,Smell,True,0.95,Remove,removed,,,,,,,,False
52,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
53,wrong_smell_type,detection,True,False,False,False,0.2775,,,FAILED,Task,Vague,Smell,Smell,True,0.85,Remove,removed,,,,,,,,False
54,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Task,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
55,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
56,false_negative,detection,False,False,False,False,0.1536,,,FAILED,Not a smell,Vague,Smell,Not a smell,False,0.92,No Change,skipped_clean,,,,,,,,False
57,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
58,repair_eligible,,True,True,True,True,0.9775,1.0,True,ACCEPTED,Task,Task,Smell,Smell,True,0.85,Remove,removed,,Not a smell,1.0,True,False,Task -> Not a smell,,False
59,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
60,wrong_smell_type,detection,True,False,False,False,0.2775,,,FAILED,Vague,Obvious,Smell,Smell,True,0.85,Rewrite,repaired,,,,,,,,False
61,false_positive,detection,True,False,False,False,0.19,,,FAILED,Vague,Not a smell,Not a smell,Smell,False,0.9,Rewrite,repaired,,,,,,,,False
62,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
63,false_positive,detection,True,False,False,False,0.2775,,,FAILED,Nonlocal info,Not a smell,Not a smell,Smell,False,0.85,Move,moved,,,,,,,,False
64,clean_correct,,False,False,False,True,0.9448,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.765,No Change,skipped_clean,,,,,,,,False
65,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
66,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
67,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
68,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
69,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
70,wrong_smell_type,detection,True,False,False,False,0.19,,,FAILED,Nonlocal info,Task,Smell,Smell,True,0.9,Move,moved,,,,,,,,False
71,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
72,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
73,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9975,0.5,False,FAILED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Obvious,0.95,False,False,Obvious -> Obvious,0.5,True
74,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
75,false_positive,detection,True,False,False,False,0.0975,,,FAILED,Obvious,Not a smell,Not a smell,Smell,False,0.95,Remove,removed,,,,,,,,False
76,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
77,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
78,false_positive,detection,True,False,False,False,0.0975,,,FAILED,Misleading,Not a smell,Not a smell,Smell,False,0.95,Rewrite,repaired,,,,,,,,False
79,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9936,0.9,False,FAILED,Obvious,Obvious,Smell,Smell,True,0.92,Rewrite,repaired,0.0,Obvious,0.95,False,False,Obvious -> Obvious,0.9,True
80,false_positive,detection,True,False,False,False,0.0975,,,FAILED,Obvious,Not a smell,Not a smell,Smell,False,0.95,Rewrite,repaired,,,,,,,,False
81,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
82,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
83,repair_eligible,,True,True,True,True,0.99,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.9,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
84,wrong_smell_type,detection,True,False,False,False,0.19,,,FAILED,Obvious,Vague,Smell,Smell,True,0.9,Remove,removed,,,,,,,,False
85,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9975,1.0,False,FAILED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Obvious,0.95,False,False,Obvious -> Obvious,1.0,True
86,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
87,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
88,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
89,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
90,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
91,repair_eligible,,True,True,True,True,0.99,1.0,True,ACCEPTED,Task,Task,Smell,Smell,True,0.9,Remove,removed,,Not a smell,1.0,True,False,Task -> Not a smell,,False
92,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
93,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Task,Task,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Task -> Not a smell,,False
94,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
95,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
96,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
97,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
98,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
99,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
100,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
101,false_positive,detection,True,False,False,False,0.19,,,FAILED,Obvious,Not a smell,Not a smell,Smell,False,0.9,Remove,removed,,,,,,,,False
102,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Task,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
103,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
104,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
105,wrong_smell_type,detection,True,False,False,False,0.5444,,,FAILED,Nonlocal info,Task,Smell,Smell,True,0.675,Move,moved,,,,,,,,False
106,false_negative,detection,False,False,False,False,0.4923,,,FAILED,Not a smell,Task,Smell,Not a smell,False,0.7125,No Change,skipped_clean,,,,,,,,False
107,false_positive,detection,True,False,False,False,0.2775,,,FAILED,Vague,Not a smell,Not a smell,Smell,False,0.85,Rewrite,repaired,,,,,,,,False
108,repair_eligible,repair_or_closed_loop,True,True,True,True,0.91,0.98,True,ACCEPTED,Vague,Vague,Smell,Smell,True,0.7,Rewrite,repaired,0.3636,Not a smell,0.95,True,False,Vague -> Not a smell,0.98,True
109,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
110,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
111,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
112,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
113,repair_eligible,,True,True,True,True,0.9975,0.95,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Not a smell,0.95,True,False,Obvious -> Not a smell,0.95,False
114,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
115,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
116,false_negative,detection,False,False,False,False,0.19,,,FAILED,Not a smell,Vague,Smell,Not a smell,False,0.9,No Change,skipped_clean,,,,,,,,False
117,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
118,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
119,false_positive,detection,True,False,False,False,0.0975,,,FAILED,Obvious,Not a smell,Not a smell,Smell,False,0.95,Rewrite,repaired,,,,,,,,False
120,false_negative,detection,False,False,False,False,0.7623,,,FAILED,Not a smell,Task,Smell,Not a smell,False,0.4875,No Change,skipped_clean,,,,,,,,False
121,wrong_smell_type,detection,True,False,False,False,0.2775,,,FAILED,Vague,Task,Smell,Smell,True,0.85,Rewrite,repaired,,,,,,,,False
122,clean_correct,,False,False,False,True,0.99,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.9,No Change,skipped_clean,,,,,,,,False
123,false_negative,detection,False,False,False,False,0.19,,,FAILED,Not a smell,Task,Smell,Not a smell,False,0.9,No Change,skipped_clean,,,,,,,,False
124,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
125,false_positive,detection,True,False,False,False,0.0975,,,FAILED,Obvious,Not a smell,Not a smell,Smell,False,0.95,Rewrite,repaired,,,,,,,,False
126,false_negative,detection,False,False,False,False,0.7975,,,FAILED,Not a smell,Vague,Smell,Not a smell,False,0.45,No Change,skipped_clean,,,,,,,,False
127,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
128,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
129,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
130,clean_correct,,False,False,False,True,0.9996,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.98,No Change,skipped_clean,,,,,,,,False
131,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
132,false_positive,detection,True,False,False,False,0.0975,,,FAILED,Obvious,Not a smell,Not a smell,Smell,False,0.95,Remove,removed,,,,,,,,False
133,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
134,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
135,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9975,0.6,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Not a smell,0.95,True,False,Obvious -> Not a smell,0.6,True
136,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
137,repair_eligible,,True,True,True,True,0.9936,1.0,True,ACCEPTED,Task,Task,Smell,Smell,True,0.92,Remove,removed,,Not a smell,1.0,True,False,Task -> Not a smell,,False
138,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
139,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
140,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
141,repair_eligible,repair_or_closed_loop,True,True,True,True,0.8944,0.95,False,FAILED,Too much info,Too much info,Smell,Smell,True,0.675,Summarize,repaired,0.3478,Irrelevant,0.9,False,True,Too much info -> Irrelevant,0.95,True
142,clean_correct,,False,False,False,True,0.9629,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.8075,No Change,skipped_clean,,,,,,,,False
143,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
144,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Obvious,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
145,false_negative,detection,False,False,False,False,0.0975,,,FAILED,Not a smell,Misleading,Smell,Not a smell,False,0.95,No Change,skipped_clean,,,,,,,,False
146,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
147,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Task,Task,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Task -> Not a smell,,False
148,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9975,1.0,False,FAILED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Obvious,0.9,False,False,Obvious -> Obvious,1.0,True
149,wrong_smell_type,detection,True,False,False,False,0.36,,,FAILED,Misleading,Obvious,Smell,Smell,True,0.8,Rewrite,repaired,,,,,,,,False
150,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9975,0.3,False,FAILED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Obvious,0.95,False,False,Obvious -> Obvious,0.3,True
151,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9975,0.9,False,FAILED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Obvious,0.95,False,False,Obvious -> Obvious,0.9,True
152,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
153,clean_correct,,False,False,False,True,0.9173,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.7125,No Change,skipped_clean,,,,,,,,False
154,repair_eligible,repair_or_closed_loop,True,True,True,True,0.9975,0.75,False,FAILED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Obvious,0.95,False,False,Obvious -> Obvious,0.75,True
155,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
156,clean_correct,,False,False,False,True,0.99,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.9,No Change,skipped_clean,,,,,,,,False
157,repair_eligible,,True,True,True,True,0.9975,0.95,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Rewrite,repaired,0.0,Not a smell,0.9,True,False,Obvious -> Not a smell,0.95,False
158,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
159,clean_correct,,False,False,False,True,0.9975,,,ACCEPTED,Not a smell,Not a smell,Not a smell,Not a smell,True,0.95,No Change,skipped_clean,,,,,,,,False
160,repair_eligible,,True,True,True,True,0.9975,1.0,True,ACCEPTED,Obvious,Obvious,Smell,Smell,True,0.95,Remove,removed,,Not a smell,1.0,True,False,Obvious -> Not a smell,,False
