sample_id,predicted_label,detection_confidence,repair_action,original_comment,repaired_comment,repair_status,reason_short,route_to,model_source
72,Not a smell,0.95,No Change,"This upgrade should already have been done during setConf. However older version of AnkiDroid didn't call upgradeJSONIfNecessary during setConf, which means the conf saved may still have this bug.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
73,Obvious,0.95,Rewrite,Create a spinner for column1,Find the column1 spinner by ID,repaired,"Original comment incorrectly says 'create', but code only finds the existing view.",evaluation,deepseek-v3
74,Not a smell,0.95,No Change,If a new column was selected then change the key used to map from mCards to the column TextView,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
75,Obvious,0.95,Remove,Do Nothing,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
76,Not a smell,0.95,No Change,Load default value for column2 selection,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
77,Not a smell,0.95,No Change,Setup the column 2 heading as a spinner so that users can easily change the column type,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
78,Misleading,0.95,Rewrite,Create a new list adapter with updated column map any time the user changes the column,Update the column mapping in the list adapter when the user selects a different column.,repaired,Original comment said 'create a new list adapter' but code updates existing adapter's mapping.,evaluation,deepseek-v3
79,Obvious,0.92,Rewrite,get the font and font size from the preferences,Get the relative card browser font size from preferences,repaired,Original comment inaccurately mentions 'font and font size' but code only retrieves one integer for relative font size.,evaluation,deepseek-v3
80,Obvious,0.95,Rewrite,make a new list adapter mapping the data in mCards to column1 and column2 of R.layout.card_item_browser,Make a new MultiColumnListAdapter mapping the data in columnsContent to card_sfld and card_column2 of R.layout.card_item_browser,repaired,Original comment incorrectly referenced mCards and generic column names; updated to match actual variable and IDs.,evaluation,deepseek-v3
81,Obvious,0.95,Remove,link the adapter to the main mCardsListView,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
82,Not a smell,0.95,No Change,make the items (e.g. question & answer) render dynamically when scrolling,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
83,Obvious,0.9,Remove,set the spinner index,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
84,Obvious,0.9,Remove,click on whole cell triggers select,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
85,Obvious,0.95,Rewrite,load up the card selected on the list,Get the ID of the card at the given position.,repaired,Original comment was vague and misleading; rewrite precisely describes the code's action.,evaluation,deepseek-v3
86,Obvious,0.95,Remove,Add to the set of checked cards,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
87,Not a smell,0.95,No Change,click on whole cell triggers select,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
88,Not a smell,0.95,No Change,"If a valid value for last deck exists then use it, otherwise use libanki selected deck",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
89,Not a smell,0.95,No Change,NOTE: These are all active when typing in the search - doesn't matter as all need CTRL,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
90,Obvious,0.95,Remove,Ctrl+A - Select All,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
91,Task,0.9,Remove,Ctrl+Shift+E: Export (TODO),,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
92,Not a smell,0.95,No Change,start note editor using the card we just loaded,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
93,Task,0.95,Remove,#6432 - FIXME - onCreateOptionsMenu crashes if receiving an activity result from edit card when in multiselect,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
94,Not a smell,0.95,No Change,Just select the first one. It doesn't particularly matter if there's a multiselect occurring.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
95,Not a smell,0.95,No Change,"cancel rendering the question and answer, which has shared access to mCards",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
96,Not a smell,0.95,No Change,Add reload flag to result intent so that schedule reset when returning to note editor,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
97,Obvious,0.95,Remove,restore drawer click listener and icon,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
98,Not a smell,0.95,No Change,the searchview's query always starts empty.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
99,Not a smell,0.95,No Change,SearchView doesn't support empty queries so we always reset the search when collapsing,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
100,Not a smell,0.95,No Change,invalidate options menu so that disappeared icons would appear again,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
101,Obvious,0.9,Remove,Provide SearchView with the previous search terms,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
102,Not a smell,0.95,No Change,Fixes #6500 - keep the search consistent,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
103,Not a smell,0.95,No Change,multi-select mode,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
104,Not a smell,0.95,No Change,Maybe we were called from ACTION_PROCESS_TEXT. In that case we already fill in the search.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
105,Nonlocal info,0.675,Move,TODO: Combine this with class: IntentHandler after both are well-tested,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
106,Not a smell,0.7125,No Change,API 23: Replace with Intent.ACTION_PROCESS_TEXT,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
107,Vague,0.85,Rewrite,"Note: Theoretically should not happen, as this should kick us back to the menu","Safeguard: Normally, no selected cards would have already navigated back to menu.",repaired,Rewrote to clarify that the comment is a note about a fallback scenario.,evaluation,deepseek-v3
108,Vague,0.7,Rewrite,must handle 0.,True if all cards are selected (including zero cards).,repaired,Clarifies the purpose and explicitly mentions handling of zero cards.,evaluation,deepseek-v3
109,Not a smell,0.95,No Change,"dismiss undo-snackbar if shown to avoid race condition (when another operation will be performed on the model, it will undo the latest operation)",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
110,Not a smell,0.95,No Change,Only new cards may be repositioned,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
111,Not a smell,0.95,No Change,Show confirmation dialog before resetting card progress,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
112,Not a smell,0.95,No Change,"Multiple cards have been explicitly selected, so preview only those cards",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
113,Obvious,0.95,Rewrite,"Preview all cards, starting from the one that is currently selected","Preview all cards, starting from the first checked card, or from the beginning if none are checked.",repaired,Corrected 'currently selected' to accurately reflect mCheckedCards logic.,evaluation,deepseek-v3
114,Not a smell,0.95,No Change,"WARNING: changeDeck depends on this index, so any changes should be reflected there.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
115,Not a smell,0.95,No Change,Save current search terms,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
116,Not a smell,0.9,No Change,cancel the previous search & render tasks if still running,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
117,Obvious,0.95,Remove,clear the existing card list,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
118,Not a smell,0.95,No Change,estimate maximum number of cards that could be visible (assuming worst-case minimum row height of 20dp),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
119,Obvious,0.95,Rewrite,Perform database query to get all card ids,"Launch collection task to search cards with criteria (text, order, count, columns)",repaired,Original comment was obvious and partially inaccurate; rewrote to describe the actual task parameters.,evaluation,deepseek-v3
120,Not a smell,0.4875,No Change,TODO: Duplication between here and CustomStudyDialog:onSelectedTags,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
121,Vague,0.85,Rewrite,Logging here might be appropriate : ),No action taken; consider adding logging for unexpected options.,repaired,Original comment is vague about what logging might be appropriate; rewrite clarifies intent to log unexpected cases.,evaluation,deepseek-v3
122,Not a smell,0.9,No Change,Only if we really have selected tags,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
123,Not a smell,0.9,No Change,7070: quote tags so brackets are properly escaped,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
124,Not a smell,0.95,No Change,Only if we added anything to the tag list,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
125,Obvious,0.95,Rewrite,get position in the mCards search results HashMap,look up position by card ID in idToPos map,repaired,"Reworded to be more precise about the actual map used, avoiding reference to 'mCards search results HashMap' which is not in the code.",evaluation,deepseek-v3
126,Not a smell,0.45,No Change,update Q & A etc,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
127,Not a smell,0.95,No Change,snackbar to offer undo,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
128,Not a smell,0.95,No Change,Strips all formatting from the string txt for use in displaying question/answer in browser,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
129,Not a smell,0.95,No Change,"Suboptimal from a UX perspective, we should reorder but this is only hit on a rare sad path and we'd need to rejig the data structures to allow an efficient search",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
130,Not a smell,0.98,No Change,"we don't need to reorder cards here as we've already deselected all notes,",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
131,Not a smell,0.95,No Change,snackbar to offer undo,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
132,Obvious,0.95,Remove,reload whole view,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
133,Not a smell,0.95,No Change,"Need to copy the list into a new list, because the original list is modified, and ListAdapter crash",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
134,Not a smell,0.95,No Change,"If we haven't selected all decks, allow the user the option to search all decks.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
135,Obvious,0.95,Rewrite,all we need to do is select all decks,No filtering required; selecting all decks suffices for the search.,repaired,Original comment is obvious; repair adds context explaining why selection alone is sufficient.,evaluation,deepseek-v3
136,Not a smell,0.95,No Change,"Note: This is called every time a card is rendered. It blocks the long-click callback while the task is running, so usage of the task should be minimized",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
137,Task,0.92,Remove,Might want to do something more proactive here like show a message box?,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
138,Obvious,0.95,Remove,Set result and finish,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
139,Not a smell,0.95,No Change,Show the progress bar if scrolling to given position requires rendering of the question / answer,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
140,Not a smell,0.95,No Change,"List is never cleared, only reset to a new list. So it's safe here.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
141,Too much info,0.675,Summarize,"According to Mike, there used to be 5 to 10 report by hour on the beta version. All with > com.ichi2.anki.exception.ManuallyReportedException: Useless onScroll call, with size 0 firstVisibleItem 0, > lastVisibleItem 0 and visibleItemCount 0.",Frequent reports of ManuallyReportedException: Useless onScroll call with zero values.,repaired,Original comment was too verbose; summarized to core information about frequent exception reports.,evaluation,deepseek-v3
142,Not a smell,0.8075,No Change,"This change ensure that we log more specifically case where #8821 could have occured. That is, there are cards but we are asked to display nothing.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
143,Not a smell,0.95,No Change,"Note that this is not a bug. The fact that `visibleItemCount` is equal to 0 is actually authorized by the method we override and mentionned in the javadoc. It perfectly makes sens to get this order, since it can be used to know that we can delete some elements from the cache for example, since nothing is displayed.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
144,Not a smell,0.95,No Change,"In all of those cases, there is nothing to do:",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
145,Not a smell,0.95,No Change,"Note: max value of lastVisibleItem is totalItemCount, so need to subtract 1",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
146,Not a smell,0.95,No Change,Also start rendering the items on the screen every 300ms while scrolling,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
147,Task,0.95,Remove,TODO: Try change to RecyclerView as currently gets stuck a lot when using scrollbar on right of ListView Start rendering the question & answer every time the user stops scrolling,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
148,Obvious,0.95,Rewrite,"Get the main container view if it doesn't already exist, and call bindView","Reuse convertView if available, otherwise inflate layout; then bind data.",repaired,"Reworded to be more concise and clear, removing obvious restatement of code.",evaluation,deepseek-v3
149,Misleading,0.8,Rewrite,Draw the content in the columns,Retrieve the column views and the card for this position.,repaired,"Original comment claimed drawing was occurring, but code only retrieves view references and a card object.",evaluation,deepseek-v3
150,Obvious,0.95,Rewrite,set font for column,Apply custom font to the column header.,repaired,Original comment merely restates setFont call; rewording adds context about purpose.,evaluation,deepseek-v3
151,Obvious,0.95,Rewrite,set text for column,Set column header from card's keys,repaired,Original comment restated the obvious; rewritten to explain what text is being set.,evaluation,deepseek-v3
152,Obvious,0.95,Remove,set card's background color,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
153,Not a smell,0.7125,No Change,setup checkbox to change color in multi-select mode,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
154,Obvious,0.95,Rewrite,"if in multi-select mode, be sure to show the checkboxes",Make checkboxes visible and reflect selection state.,repaired,"Original comment was obvious, restating code without adding insight.",evaluation,deepseek-v3
155,Not a smell,0.95,No Change,"this prevents checkboxes from showing an animation from selected -> unselected when checkbox was selected, then selection mode was ended and now restarted",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
156,Not a smell,0.9,No Change,change bg color on check changed,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
157,Obvious,0.95,Rewrite,Set the font and font size for a TextView v,Scale TextView font size and set custom typeface if available.,repaired,Original comment merely restated method name; new comment adds context about scaling and custom typeface.,evaluation,deepseek-v3
158,Not a smell,0.95,No Change,do nothing when pref is 100% and apply scaling only once,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
159,Not a smell,0.95,No Change,getTextSize returns value in absolute PX so use that in the setter,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
160,Obvious,0.95,Remove,"If we have selected cards, load multiselect",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
161,Obvious,0.95,Remove,"If we don't have cards, unload multiselect",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
162,Obvious,0.95,Rewrite,"If we're not in mutliselect, we can select cards if there are cards to select",Show 'Select all' menu item only when not in multi-select mode and there are cards to select.,repaired,Original comment has typo and is vague; rewrite clarifies intent to control visibility of menu item.,evaluation,deepseek-v3
163,Task,0.92,Remove,This could be better: use a wrapper class PositionAware<T> to store the position so it's no longer a responsibility of CardCache and we can guarantee it's consistent just by using this collection,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
164,Not a smell,0.95,No Change,"First column can not be the answer. If it were to change, this code should also be changed.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
165,Obvious,0.9,Remove,render question and answer,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
166,Not a smell,0.95,No Change,"Render full question / answer if the bafmt (i.e. ""browser appearance"") setting forced blank result",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
167,Misleading,0.9,Rewrite,update the original hash map to include rendered question & answer,Get rendered question and answer from the Q&A map,repaired,"The original comment incorrectly claims to update the hash map, but the code only retrieves values.",evaluation,deepseek-v3
168,Obvious,0.95,Rewrite,remove the question from the start of the answer if it exists,Strip the question prefix from the answer if present.,repaired,Original comment restates code; rewritten to be concise and use standard terminology.,evaluation,deepseek-v3
169,Obvious,0.95,Rewrite,Get the current vertical position of the top of the selected view,Vertical position of the view's top edge.,repaired,Rewritten to be concise and avoid obvious restatement.,evaluation,deepseek-v3
170,Not a smell,0.9,No Change,Post to event queue with some delay to give time for the UI to update the layout,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
171,Not a smell,0.95,No Change,Scroll to the same vertical position before the layout was changed,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
172,Obvious,0.95,Remove,set in multi-select mode,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
173,Obvious,0.95,Remove,show title and hide spinner,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
174,Not a smell,0.95,No Change,reload the actionbar using the multi-select mode actionbar,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
175,Not a smell,0.95,No Change,If view which was originally selected when entering multi-select is visible then maintain its position,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
176,Not a smell,0.95,No Change,update adapter to remove check boxes,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
177,Not a smell,0.45,No Change,update action bar,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
178,Not a smell,0.95,No Change,should only be called from changeDeck(),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
179,Not a smell,0.95,No Change,"line required for unit tests, not necessary, but a noop in regular call.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
180,Not a smell,0.9,No Change,"#7781 Technically, editing a card with conditional fields can also cause this, but cloze cards are much more common",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
181,Obvious,0.95,Remove,create card 3,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
